dataset,seed,method,test_acc,val_acc,config_id,epoch,search_s,warmup_s_shared,all_operators_build_s_shared,trusted_count,rough_edges
cora,7,nrs,0.81,0.7919999957084656,0,199,1.5169543749999974,0.38050054200000005,0.07483133299999878,172,83
cora,8,nrs,0.798,0.7919999957084656,1,181,1.514344500000007,0.3752645420000107,0.08555658299999891,196,127
cora,9,nrs,0.815,0.8040000200271606,1,158,1.5192925829999808,0.3785452919999983,0.0745364579999972,161,74
cora,0,feature_all,0.81,0.7900000214576721,0,177,1.5151175419999987,0.36196616699999984,0.41673020900000024,605,897
cora,1,feature_all,0.809,0.7979999780654907,1,146,1.5070964989999975,0.37956649999999925,0.18723912499999962,400,515
cora,2,feature_all,0.81,0.8040000200271606,0,198,1.435341415,0.36577741600000024,0.11898012500000021,277,272
cora,3,feature_all,0.826,0.7979999780654907,0,173,1.4434345839999985,0.3556524589999981,0.07105108299999685,156,67
cora,4,feature_all,0.807,0.8040000200271606,1,186,1.4894524169999954,0.36592124999999953,0.2449700420000056,452,598
cora,5,feature_all,0.818,0.8019999861717224,1,103,1.4957528750000009,0.395916917000001,0.33231258299999666,500,713
cora,6,feature_all,0.813,0.8080000281333923,1,132,1.5036385829999972,0.377518957999996,0.33329308300000093,519,721
cora,7,feature_all,0.817,0.7860000133514404,1,125,1.5066416669999967,0.38050054200000005,0.07483133299999878,172,83
cora,8,feature_all,0.805,0.7919999957084656,1,101,1.4973340410000162,0.3752645420000107,0.08555658299999891,196,127
cora,9,feature_all,0.812,0.8019999861717224,0,185,1.5026210819999903,0.3785452919999983,0.0745364579999972,161,74
cora,0,feature_support,0.823,0.7940000295639038,1,139,1.5169175830000023,0.36196616699999984,0.41673020900000024,605,897
cora,1,feature_support,0.802,0.7979999780654907,1,131,1.5344357089999985,0.37956649999999925,0.18723912499999962,400,515
cora,2,feature_support,0.821,0.7979999780654907,1,104,1.4592361660000002,0.36577741600000024,0.11898012500000021,277,272
cora,3,feature_support,0.805,0.7979999780654907,0,189,1.4768383340000035,0.3556524589999981,0.07105108299999685,156,67
cora,4,feature_support,0.792,0.8019999861717224,1,161,1.4860706669999928,0.36592124999999953,0.2449700420000056,452,598
cora,5,feature_support,0.819,0.8059999942779541,1,178,1.49266283299999,0.395916917000001,0.33231258299999666,500,713
cora,6,feature_support,0.819,0.8140000104904175,1,123,1.4998556260000058,0.377518957999996,0.33329308300000093,519,721
cora,7,feature_support,0.814,0.7900000214576721,0,176,1.5029606670000035,0.38050054200000005,0.07483133299999878,172,83
cora,8,feature_support,0.806,0.7919999957084656,1,146,1.5098215839999938,0.3752645420000107,0.08555658299999891,196,127
cora,9,feature_support,0.816,0.8019999861717224,1,90,1.5090139980000004,0.3785452919999983,0.0745364579999972,161,74
cora,0,random_support,0.805,0.7940000295639038,1,172,1.4743596669999999,0.36196616699999984,0.41673020900000024,605,897
cora,1,random_support,0.798,0.7919999957084656,1,187,1.4425214990000015,0.37956649999999925,0.18723912499999962,400,515
cora,2,random_support,0.811,0.7960000038146973,0,181,1.4400749989999966,0.36577741600000024,0.11898012500000021,277,272
cora,3,random_support,0.802,0.7940000295639038,1,159,1.5024709180000073,0.3556524589999981,0.07105108299999685,156,67
cora,4,random_support,0.805,0.8059999942779541,1,173,1.4629795839999957,0.36592124999999953,0.2449700420000056,452,598
cora,5,random_support,0.817,0.8059999942779541,1,92,1.5207298750000007,0.395916917000001,0.33231258299999666,500,713
cora,6,random_support,0.819,0.8119999766349792,1,138,1.525239999,0.377518957999996,0.33329308300000093,519,721
cora,7,random_support,0.813,0.7900000214576721,1,124,1.517300290999998,0.38050054200000005,0.07483133299999878,172,83
cora,8,random_support,0.812,0.7900000214576721,1,91,1.5142845830000056,0.3752645420000107,0.08555658299999891,196,127
cora,9,random_support,0.811,0.8019999861717224,1,182,1.519193001000005,0.3785452919999983,0.0745364579999972,161,74
citeseer,0,plain,0.719,0.7139999866485596,1,186,2.760764791999989,0.6923277909999968,0.1970302499999974,189,99
citeseer,1,plain,0.717,0.7239999771118164,1,170,2.761166208999981,0.691502916999994,0.14205058299999962,145,41
citeseer,2,plain,0.707,0.7200000286102295,1,160,2.7554563339999874,0.6879593339999985,0.1940874579999985,191,108
citeseer,3,plain,0.694,0.7160000205039978,0,192,2.7573848740000386,0.6927733340000088,0.18686629100000118,188,91
citeseer,4,plain,0.705,0.7039999961853027,1,136,2.7717295419999743,0.6934400000000096,0.15770058299997913,138,34
citeseer,5,plain,0.712,0.7080000042915344,1,107,2.7899934179999946,0.685738458000003,0.1666559589999963,168,76
citeseer,6,plain,0.701,0.7200000286102295,0,147,2.7683019590000413,0.7199504170000068,0.14699874999999452,121,11
citeseer,7,plain,0.708,0.7200000286102295,1,129,2.7158435419999876,0.6915517920000127,0.21059183299999518,217,143
citeseer,8,plain,0.694,0.7080000042915344,1,153,2.7475952910000103,0.7025891250000029,0.26069358300000545,238,208
citeseer,9,plain,0.721,0.722000002861023,1,105,2.719680082999986,0.6902695830000027,0.16648316600000612,171,79
citeseer,0,nrs,0.719,0.7179999947547913,1,186,2.713329041999998,0.6923277909999968,0.1970302499999974,189,99
citeseer,1,nrs,0.717,0.722000002861023,1,175,2.7297974159999967,0.691502916999994,0.14205058299999962,145,41
citeseer,2,nrs,0.715,0.7179999947547913,1,161,2.7247745000000094,0.6879593339999985,0.1940874579999985,191,108
citeseer,3,nrs,0.708,0.7160000205039978,1,116,2.734349500999997,0.6927733340000088,0.18686629100000118,188,91
citeseer,4,nrs,0.709,0.6980000138282776,1,163,2.7365705000000276,0.6934400000000096,0.15770058299997913,138,34
citeseer,5,nrs,0.709,0.7080000042915344,1,194,2.7716819999999984,0.685738458000003,0.1666559589999963,168,76
citeseer,6,nrs,0.714,0.722000002861023,1,153,2.6941573329999926,0.7199504170000068,0.14699874999999452,121,11
citeseer,7,nrs,0.71,0.7179999947547913,1,113,2.719297374000007,0.6915517920000127,0.21059183299999518,217,143
citeseer,8,nrs,0.704,0.7039999961853027,1,148,2.7101499580000166,0.7025891250000029,0.26069358300000545,238,208
citeseer,9,nrs,0.7,0.7160000205039978,0,154,2.724853873000029,0.6902695830000027,0.16648316600000612,171,79
citeseer,0,feature_all,0.715,0.7120000123977661,1,187,2.728359583999989,0.6923277909999968,0.1970302499999974,189,99
citeseer,1,feature_all,0.707,0.7099999785423279,0,176,2.7450785830000086,0.691502916999994,0.14205058299999962,145,41
citeseer,2,feature_all,0.714,0.722000002861023,1,126,2.7518244160000194,0.6879593339999985,0.1940874579999985,191,108
citeseer,3,feature_all,0.694,0.7200000286102295,0,192,2.7380350400000566,0.6927733340000088,0.18686629100000118,188,91
citeseer,4,feature_all,0.712,0.7020000219345093,1,120,2.7245242500000018,0.6934400000000096,0.15770058299997913,138,34
citeseer,5,feature_all,0.711,0.7039999961853027,0,193,2.7192083330000116,0.685738458000003,0.1666559589999963,168,76
citeseer,6,feature_all,0.711,0.7239999771118164,1,153,2.750463833999987,0.7199504170000068,0.14699874999999452,121,11
