scenario,n_old,seed,repeat,features,shrink,touch,q_touch,edges_updated,edges_total,delta_error,weight_error,symmetry_error,batch_delta_error,batch_weight_error,correctness_pass,inc_delta_ms,inc_bookkeeping_ms,inc_w_ms,inc_total_ms,batch_bookkeeping_ms,batch_delta_ms,batch_w_ms,batch_total_ms,input_payload_bytes
ring_control,256,2,2,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.0225,0.068791,0.019125,0.110416,0.068167,0.195708,0.172542,0.436417,40452
ring_control,256,2,3,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.033458,0.081167,0.0255,0.140125,0.123042,0.201292,0.174083,0.498417,40452
ring_control,256,2,4,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.033125,0.077625,0.021666,0.132416,0.070375,0.206167,0.164833,0.441375,40452
ring_enemy,256,2,0,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.038958,0.073209,0.755,0.867167,0.065458,0.171958,0.13925,0.376666,40452
ring_enemy,256,2,1,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.022333,0.058167,0.898958,0.979458,0.074208,0.161792,0.13875,0.37475,40452
ring_enemy,256,2,2,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.036042,0.079083,0.7845,0.899625,0.071875,0.187916,0.1535,0.413291,40452
ring_enemy,256,2,3,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.031959,0.068041,0.829792,0.929792,0.095792,0.204,0.167458,0.46725,40452
ring_enemy,256,2,4,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.027958,0.0655,0.751042,0.8445,0.069958,0.181083,0.138084,0.389125,40452
star_leaf,256,2,0,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.029542,0.065708,0.021084,0.116334,0.06325,0.160333,0.135542,0.359125,40442
star_leaf,256,2,1,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.021792,0.059833,0.016375,0.098,0.078833,0.173167,0.141833,0.393833,40442
